date,reservations
3/28/21,-77.85%
3/29/21,-77.78%
3/30/21,-76.58%
3/31/21,-81.47%
4/1/21,-78.05%
4/2/21,-70.55%
4/3/21,-68%
4/4/21,-61.36%
4/5/21,-77.66%
4/6/21,-75.57%
4/7/21,-75.19%
4/8/21,-71.23%
4/9/21,-68.08%
4/10/21,-62.31%
4/11/21,-75.43%
4/12/21,-84.52%
4/13/21,-78.58%
4/14/21,-77.33%
4/15/21,-82.02%
4/16/21,-67.69%
4/17/21,-79.47%
4/18/21,-64.16%
4/19/21,-74.69%
4/20/21,-70.68%
4/21/21,-79.51%
4/22/21,-74.48%
4/23/21,-61.42%
4/24/21,-54.08%
4/25/21,-65.35%
4/26/21,-74.34%
4/27/21,-71.82%
4/28/21,-66.58%
4/29/21,-74.10%
4/30/21,-62.57%
5/1/21,-56.99%
5/2/21,-54.53%
5/3/21,-76.02%
5/4/21,-70.18%
